contentsid;label;contentscd;title;regioncd_value;regioncd_label;region1cd_value;region1cd_label;region2cd_value;region2cd_label;tag
CNTS_200000000009775;테마여행;c6;가족 단위 추천 느린 여행지 <제주시 동부>;1;북부;region3;섬 속의 섬;32;추자도;,제주,제주도,제주여행,제주도여행,제주도가볼만한곳,제주도가족여행,제주관광공사,비짓제주,JEJU,JEJUDO,VISITJEJU,제주시동부,아부오름,선흘분교,돌문화공원,절물자연휴양림,힐링,느린여행지
CNTS_200000000015038;쇼핑;c2;데일리스티치;1;북부;region1;제주시;15;조천;조천,함덕리,핸드메이드,에코백,파우치,앞치마,원피스,인형
CNTS_000000000022159;숙박;c3;마레카펜션;3;서부;region1;제주시;13;한림;숙소,휴양펜션,펜션,해수욕장,바비큐,독채,한옥,온돌방,단체여행객,반려동물보호소,반려동물동반입장,반려동물,반려동물동반_숙소,공용주차장,화장실
CNTS_200000000007238;테마여행;c6;채식주의자 식단 <제주에서 만나는 건강한 한 끼>;3;서부;region1;제주시;13;한림;사계절,휴식/치유,부모,힐링
CONT_000000000500013;관광지;c1;가문이오름(감은이오름);2;동부;region2;서귀포시;26;표선;커플,혼자,친구,맑음,오름,가을,자연경관,도보여행,도보,아주어려움
CNTS_000000000021613;테마여행;c6;제주를 마셔요 <서남권 카페 여행>;0;테마여행;region2;서귀포시;;region2>;식도락,카페,실내,해변,휴식/힐링,친구,커플,혼자,사계절
CNTS_000000000022353;관광지;c1;서귀포 다이브센터;4;남부;region2;서귀포시;25;남원;액티비티,친구,커플,맑음,체험,레저/체험,수상레저,어트랙션
CNTS_000000000021312;숙박;c3;볼몽지엥하우스;4;남부;region2;서귀포시;21;서귀포시내;서귀포,게스트하우스,공용주차장,화장실,무료WIFI
CNTS_200000000007664;숙박;c3;조천댁;1;북부;region1;제주시;15;조천;공용주차장,현금결제,화장실,현금결제,스파
CNTS_200000000013149;테마여행;c6;제주마을산책  4.3길을 걷다 <조천읍-봄편> (상);1;북부;region1;제주시;15;조천;제주마을산책,제주한달살이,워케이션,제주마을,로컬여행,조천,봄제주여행,제주도보여행,제주4.3
CNTS_000000000022683;테마여행;c6;온 가족이 함께하는 제주도 이색 체험;0;테마여행;region1;제주시;;region>;체험,목장,실내,체험관광,부모,아이
CNTS_000000000019157;숙박;c3;UTS제주골프빌리지;1;북부;region1;제주시;12;애월;리조트,숙소,휴양콘도,주차장,골프,가족,펜션,바비큐,조식,식당,자연경관,해변,공용주차장,현금결제,카드결제,화장실,무료WIFI,편의점,음료대,유도및안내시설,경보및피난시설,아주어려움
CNTS_200000000009253;테마여행;c6;판타스틱 제주에서 특별한 캠핑을! <제주 바닷가 캠핑장 BEST 5>;1;북부;region1;제주시;12;애월;김녕해수욕장야영장,비양도연평리야영지,화순리금모래캠핑장,하모해변야영장,협재해수욕장야영장,캠핑,야영,캠핑장,친구,커플,혼자,해변,백패킹
CNTS_200000000008020;관광지;c1;어영공원;1;북부;region1;제주시;11;제주시내;겯기/등산,경관/포토,휴식/힐링,테마공원,아이,공용주차장,화장실
CNTS_200000000015000;쇼핑;c2;트멍;4;남부;region2;서귀포시;21;서귀포시내;서귀포시내,소품샵,핸드메이드소품
CNTS_300000000015790;음식점;c4;베트남 전통 쌀국수;1;북부;region1;제주시;11;제주시내;제주시내,용담,베트남음식,쌀국수,분짜,반미,짜조,쌀국수,분짜
CNTS_200000000008314;관광지;c1;포레스트 사파리;1;북부;region1;제주시;15;조천;아이,테마파크,동물,체험,어린이,어트랙션,어린이동물농장
CNTS_200000000015427;테마여행;c6;입맛 돋는 제철 음식 <제주는 지금 고사리 시즌>;1;북부;region1;제주시;15;조천;제주별미,제주봄철특산물,제철음식,고사리,고사리축제,제주대표음식,제주봄여행
CNTS_300000000012965;관광지;c1;해병 3·4기 호국관;3;서부;region2;서귀포시;22;대정;문화관광,체험관광,안보견학,전시,공용주차장,쉬움,견학
CNTS_300000000012695;숙박;c3;리틀화이트;4;남부;region2;서귀포시;21;서귀포시내;에어비앤비,독채,단독,모던,스튜디오식,반려동물,반려동물동반입장,혼저옵서개,반려동물동반_숙소,공용주차장,화장실,무료WIFI,유도및안내시설,동반가능,바베큐장
CNTS_200000000014031;테마여행;c6;제주 마을에서 가족여행  <카름스테이>;4;남부;region2;서귀포시;21;서귀포시내;카름스테이,제주마을여행,로컬투어,제주로컬,저지리,가족여행,아이가좋아하는여행지
CNTS_200000000010957;관광지;c1;새별프렌즈 (새별헤이요목장);1;북부;region1;제주시;12;애월;커플,친구,아이,맑음,휴식/힐링,테마공원,체험관광,휴식/치유,자연경관,체험,어린이,어트랙션,실외
CONT_000000000501337;음식점;c4;이게밥도둑;1;북부;region1;제주시;11;제주시내;간장게장,대하장,한식,음식,오겹살,새우장,공용주차장,현금결제,카드결제,화장실,무료WIFI,음료대,유도및안내시설,경보및피난시설,아주어려움
CNTS_200000000008078;음식점;c4;모노클제주;4;남부;region2;서귀포시;25;남원;카페,커피,음료,베이커리,음식,디저트,아메리카노,바닐라라떼,카페라떼,카페모카,아인슈페너,라떼,플랫화이트,스파클링,콜드브루,아이스티,에이드,차,밀크티,생과일주스,녹차,홍차,꽃차
CNTS_300000000012831;쇼핑;c2;디앤디파트먼트 제주;1;북부;region1;제주시;11;제주시내;탑동,편집샵
CNTS_000000000019554;관광지;c1;광령귤나무;1;북부;region1;제주시;12;애월;겨울,자연경관
CNTS_200000000013332;테마여행;c6;가정의달 <아이와 함께 여행하기 좋은 추천 관광지>;1;북부;region1;제주시;12;애월;아이와함께제주여행,가족여행,아이와함께,로봇플래닛,제주안전체험관,산양큰엉곶,제주어린이박물관,제주국립박물관,가정의달제주여행
CNTS_200000000009084;숙박;c3;사계절민박;1;북부;region3;섬 속의 섬;32;추자도;하추자항,하추자민박,추자도,카드결제,현금결제,어려움,없음,동반불가능,유료제공,전체금연,없음,운행
CNTS_000000000001260;음식점;c4;푸주옥도남점;1;북부;region1;제주시;11;제주시내;설렁탕,꼬리곰탕,도가니탕,사골,음식,수육,무장애관광,현금결제,카드결제,화장실,음료대,유도및안내시설,경보및피난시설,단독접근가능,단차없음,장애인전용주차장,테이블비치,쉬움
CNTS_000000000021213;숙박;c3;마라도게스트하우스;4;남부;region3;섬 속의 섬;33;마라도;휴식,숙소,게스트하우스,음식,별미음식,마라도
CNTS_000000000018980;숙박;c3;아침의 새소리펜션;4;남부;region2;서귀포시;25;남원;민박,숙소,휴양펜션,펜션,바비큐,온돌방,독채,단체여행객,가족,교통,공공와이파이존,자연학습장,문화관광,해수욕장,해변,공용주차장,현금결제,카드결제,화장실,무료WIFI,편의점,유도및안내시설,경보및피난시설,아주어려움
CNTS_300000000016073;축제/행사;c5;2023년 우도 하고수동 해수욕장 썸머 페스티벌;2;동부;region3;섬 속의 섬;31;우도;,제주썸머페스티벌,우도축제,하고수동해수욕장,제주여름,섬속의섬
CNTS_200000000014204;음식점;c4;커브커피스토어;1;북부;region1;제주시;11;제주시내;반려동물,반려동물동반입장,쿠키,핸드드립커피,반려동물동반_식당카페,음식,카페,화장실,무료WIFI,어린이출입가능,불가능
CNTS_300000000012842;음식점;c4;BHC치킨 연동점;1;북부;region1;제주시;11;제주시내;연동,치킨,치킨
CNTS_000000000021314;숙박;c3;제주마로펜션;3;서부;region1;제주시;13;한림;숙소,휴양펜션,펜션,해수욕장,바비큐,단체여행객,협재해수욕장,공용주차장,화장실,무료WIFI
CNTS_000000000021030;숙박;c3;토리코티지카레클린트;1;북부;region1;제주시;12;애월;휴식,숙소,돌담길,돌담풍경마을,민박,휴양펜션,독채,대청마루,주택(주거)지역,공용주차장,화장실,무료WIFI,아주어려움
CNTS_000000000020030;관광지;c1;아이리스촬영지(하얀등대);2;동부;region2;서귀포시;26;표선;등대,경관/포토,친구,커플,맑음
CNTS_200000000010335;관광지;c1;물뫼힐링팜;1;북부;region1;제주시;12;애월;수산리,자연경관,체험,마을관광,웰니스,어트랙션,러닝홀리데이인제주,3시간이상
